SYS,ASY,COMP,"Description ",CompCode9Digit,Obsolete,"Comments "
1,1,41,"Suction Throttling Valve Assembly",001-001-041,,
1,1,42,"Piston & Diaphragm Assembly - Suction Throttling Valve",001-001-042,,
1,1,43,"Absolute Valve - Pilot Operated",001-001-043,,
1,1,44,"Connector - Evaporator Gauge",001-001-044,,
1,1,45,"Gauge Connector Valve - Evaporator Core",001-001-045,,
1,1,46,"Mounting Bracket - Suction Throttling Valve",001-001-046,,
1,1,47,"Mounting Bracket - Compressor, Air Conditioning",001-001-047,,
1,1,48,"Belt - Compressor, Air Conditioning",001-001-048,,
1,1,49,"Expansion Valve Assembly - HVAC System",001-001-049,,"updated by JP"
1,1,50,"Screen - Expansion Valve",001-001-050,,
1,1,51,"Mounting Bracket - Expansion Valve",001-001-051,,
1,1,52,"Evaporator Core",001-001-052,,
1,1,53,"Case Assembly - Evaporator",001-001-053,,
1,1,54,"Hardware, Mounting - Evaporator, Case Assembly",001-001-054,,
1,1,55,"Drain Tube - Evaporator Core ",001-001-055,,
1,1,56,"Clamp - Drain Tube",001-001-056,,
1,1,57,"Mounting Bracket - Evaporator",001-001-057,,
1,1,58,"Case Assembly - Cool Pack",001-001-058,,
1,1,59,"Insulator - Evaporator Thermo-Bulb",001-001-059,,
1,1,60,"Evaporator Unit Assembly - Rear Compartment",001-001-060,,
1,1,62,"Condenser Assembly - HVAC System",001-001-062,,"updated by JP"
1,1,63,"Hardware, Mounting - Condenser Assembly",001-001-063,,
1,1,64,"Mounting Bracket - Condenser",001-001-064,,
1,1,65,"Receiver - Dehydrator Assembly (Drier)",001-001-065,,
1,1,66,"Hardware, Mounting - Receiver Drier",001-001-066,,
1,1,67,"Sight Glass - HVAC System",001-001-067,,"updated by JP"
1,1,68,"Hardware, Mounting - Sight Glass",001-001-068,,
1,1,69,"Gear Package - Programmer",001-001-069,,
1,1,70,"Motor - Programmer Drive",001-001-070,,
1,1,71,"Resistor Board Assembly - Programmer",001-001-071,,
1,1,72,"Wheel & Variable Resistor Assembly",001-001-072,,
1,1,73,"Vacuum Valve - Programmer",001-001-073,,
1,1,74,"Amplifier Board Assembly - Programmer",001-001-074,,
1,1,75,"Finger Block Assembly - Programmer",001-001-075,,
1,1,76,"Housing - Programmer",001-001-076,,
1,1,77,"Door - Outside Air Inlet",001-001-077,,
1,1,78,"Cable - Air Inlet Door",001-001-078,,
1,1,79,"Spring - Air Inlet Door",001-001-079,,
1,1,80,"Hose - Outside Air Inlet",001-001-080,,
1,1,81,"Case Assembly - Plenum Blower",001-001-081,,
1,1,82,"Motor - Blower",001-001-082,,
1,1,83,"Fan - Blower",001-001-083,,
1,1,84,"Elbow - Motor Cooling Tube",001-001-084,,
1,1,85,"Tube - Motor Cooling Inlet",001-001-085,,
1,1,86,"Tube - Motor Air Outlet",001-001-086,,
1,1,87,"Clamp - Motor Air Outlet Tube",001-001-087,,
1,1,88,"Seal - Case To Dash Panel",001-001-088,,
1,1,89,"Case - Defroster & Air Conditioning",001-001-089,,
1,1,90,"Cam Assembly - Temperature Door, A/C System",001-001-090,,
1,1,91,"Door - Temperature",001-001-091,,
1,1,92,"Door - Deflector",001-001-092,,
1,1,93,"Door - Diverter",001-001-093,,
1,1,94,"Cable - Temperature Door, A/C System",001-001-094,,
1,1,95,"Cable - Diverter Door",001-001-095,,
1,1,96,"Linkage - Diverter To Deflector Door",001-001-096,,
1,1,97,"Door - Defroster",001-001-097,,
1,1,98,"Cable - Defroster Door",001-001-098,,
1,1,99,"Grommet - All",001-001-099,,
1,1,100,"Selector Switch - Auto",001-001-100,,
1,1,101,"Master Switch - Electrical (Vacuum-Auto)",001-001-101,,
1,1,102,"Control Assembly - Air Conditioning, Dash",001-001-102,,
1,1,103,"Knob - Control, Air Conditioning",001-001-103,,"updated by JP"
1,1,104,"Plate - Control Face",001-001-104,,
1,1,105,"Lever - Dash Control Assembly",001-001-105,,
1,1,106,"Selector Switch - Air Conditioning Blower",001-001-106,,
1,1,107,"Selector Switch - Blower Motor",001-001-107,,
1,1,108,"Combination Switch - Clutch & Blower",001-001-108,,
1,1,109,"Shut-Off Switch - Compressor Clutch",001-001-109,,
1,1,110,"Thermostatic Switch ",001-001-110,,
1,1,111,"Speed-Up Switch - Idle",001-001-111,,
1,1,112,"Resistor - Blower Motor Switch",001-001-112,,
1,1,113,"Relay - Compressor Clutch",001-001-113,,
1,1,114,"Relay - Blower Motor",001-001-114,,
1,1,115,"Switch - Blower Speed, A/C Motor",001-001-115,,"updated by JP "
1,1,116,"Solenoid - Compressor Clutch",001-001-116,,
1,1,117,"Switch - Compressor Clutch, Air Conditioning",001-001-117,,
1,1,118,"Switch - Master On-Off, A/C Compressor",001-001-118,,"updated by JP "
1,1,119,"Resistor Block & Diode - Blower Motor",001-001-119,,
1,1,121,"Rectifier - Selenium",001-001-121,,
1,1,122,"Wiring Harness - Air Conditioning",001-001-122,,
1,1,123,"Relay - Master",001-001-123,,
1,1,124,"Dial - String Control Panel",001-001-124,,
1,1,125,"Drive Gear & Rack Assembly - Air Conditioning Temperature Cable",001-001-125,,
1,1,126,"Vacuum Control Valve - Air Inlet Door",001-001-126,,
1,1,127,"Vacuum Temperature Valve - (Valve-Program Vacuum)",001-001-127,,
1,1,128,"Vacuum Selector Valve",001-001-128,,
1,1,129,"Diaphragm - Vacuum, Air Conditioning",001-001-129,,
1,1,130,"Tube Or Harness - Vacuum",001-001-130,,
1,1,131,"Vacuum Check Valve",001-001-131,,
1,1,132,"Vacuum & Check Valve Assembly - Tank",001-001-132,,
1,1,133,"Diaphragm - Master Switch Vacuum - Auto",001-001-133,,
1,1,134,"Main Vacuum Valve",001-001-134,,
1,1,135,"Control Assembly - Circuit, Engine Compartment",001-001-135,,
1,1,136,"Cover - Control Assembly, Engine Compartment, Front",001-001-136,,
1,1,138,"Line - Receiver/Dehydrator To Expansion Valve",001-001-138,,
1,1,139,"Connection - Receiver - Dehydrator Outlet To Line",001-001-139,,
1,1,140,"Connection - Line To Expansion Valve Inlet",001-001-140,,
1,1,141,"Connection - Expansion Valve Outlet To Evaporator",001-001-141,,
1,1,142,"Line - Equalizer Expansion Valve To Suction Throttling Valve",001-001-142,,
1,1,143,"Connection - Equalizer Line To Suction Throttling Valve",001-001-143,,
1,1,144,"Connection - Equalizer Line To Oil Bleed Line",001-001-144,,
1,1,145,"Line - Oil Bleed, Evaporator To Suction Throttling Valve",001-001-145,,
1,1,146,"Connection - Oil Bleed Line To Suction Throttling Valve",001-001-146,,
1,1,147,"Hose - Evaporator To Compressor, HVAC System",001-001-147,,"updated by JP"
1,1,148,"Connection - Evaporator Outlet To Line",001-001-148,,
1,1,149,"Connection - Evaporator To Suction Throttling Valve Inlet",001-001-149,,
1,1,150,"Connection - Suction Throttling Valve Outlet To Line",001-001-150,,
1,1,151,"Connection - Line To Compressor Suction Fitting",001-001-151,,
1,1,152,"Connection - Compressor Suction Fitting To Compressor",001-001-152,,
1,1,153,"Hose - Compressor To Condenser, HVAC System",001-001-153,,"updated by JP"
1,1,154,"Connection - Compressor To Compressor Discharge Fitting",001-001-154,,
1,1,155,"Connection - Compressor Discharge Fitting To Line",001-001-155,,
1,1,156,"Connection - Line To Condenser Inlet",001-001-156,,
1,1,157,"Line - Condenser To Receiver/Dehydrator",001-001-157,,
1,1,158,"Connection - Condenser Outlet To Line",001-001-158,,
1,1,159,"Connection - Line To Receiver Dehydrator",001-001-159,,
1,1,160,"Clamp - Hose, Air Conditioning",001-001-160,,
1,1,161,"Muffler Assembly - Air Conditioning",001-001-161,,
1,1,162,"Connection - Muffler, Air Conditioning",001-001-162,,
1,1,163,"Fitting Assembly - Compressor Discharge & Suction",001-001-163,,
1,1,164,"Suction Gauge Valve",001-001-164,,
1,1,165,"Discharge Gauge Valve",001-001-165,,
1,1,166,"Duct - Blower To Evaporator",001-001-166,,
1,1,167,"Hardware, Mounting - Blower to Evaporator Duct",001-001-167,,
1,1,168,"Gasket - Duct",001-001-168,,
1,1,169,"Adapter - Duct Work",001-001-169,,
1,1,170,"Air Manifold & Distributor Assembly",001-001-170,,
1,1,171,"Hose - Air Distribution",001-001-171,,
1,1,172,"Nozzle - Air Discharge",001-001-172,,
1,1,173,"Outlet - Center",001-001-173,,
1,1,175,"Knob - Nozzle Shut-Off Door",001-001-175,,
1,1,176,"Power Servo Assembly - Comfort Control",001-001-176,,
1,1,177,"Vacuum Power Servo Valve",001-001-177,,
1,1,178,"Transducer - Vacuum",001-001-178,,
1,1,179,"Sensor Assembly - In Cab",001-001-179,,
1,1,180,"Grille - In Cab, Sensor",001-001-180,,
1,1,181,"Sensor Assembly - Duct",001-001-181,,
1,1,182,"Switch - Time Delay, A/C Compressor",001-001-182,,"updated by JP "
1,1,183,"Ambient Switch & Sensor Assembly",001-001-183,,
1,1,184,"Link Assembly - Power Servo",001-001-184,,
1,1,185,"Control Head Assembly",001-001-185,,
1,1,186,"Circuit Board & Amplifier Assembly",001-001-186,,
1,1,187,"Switch - Blower Motor",001-001-187,,
1,1,188,"Rheostat - Temperature Control",001-001-188,,
1,1,190,"Lever - Operating, Temperature Control, HVAC System",001-001-190,,"updated by JP"
1,1,191,"Tip - Lever",001-001-191,,
1,1,192,"Spring - Detent, Temperature Control, HVAC System",001-001-192,,"updated by JP "
1,1,193,"Lever - Defrost",001-001-193,,
1,1,194,"Vacuum Valve",001-001-194,,
1,1,195,"Tube - Capillary & Piston Assembly, Automatic Control",001-001-195,,
1,1,196,"Spring - Tension (Cvv)",001-001-196,,
1,1,197,"Spring - Compression (Cvv)",001-001-197,,
1,1,198,"Capillary Vacuum Valve (Hot)",001-001-198,,
1,1,199,"Capillary Vacuum Valve (Cold)",001-001-199,,
1,1,200,"Regulator - Vacuum (Auto)",001-001-200,,
1,1,201,"Motor - Liquid Vacuum",001-001-201,,
1,1,202,"Thermo Vacuum Valve - Heater Core",001-001-202,,
1,1,203,"Restrictor - Vacuum (Auto)",001-001-203,,
1,1,204,"Thermal Vacuum Valve - Radiator Core",001-001-204,,
1,1,206,"Hose - Aspirator & Breather",001-001-206,,
1,1,208,"Bell Crank Assembly - Automatic Temperature Control",001-001-208,,
1,1,209,"Control Assembly - Automatic Temperature",001-001-209,,
1,1,210,"Aspirator - Breath Level",001-001-210,,
1,1,211,"Switch - Bi-Level Boost",001-001-211,,
1,1,212,"Fan - Evaporator, HVAC System",001-001-212,,"updated by JP"
1,1,213,"Switch - Condenser Fan",001-001-213,,
1,1,214,"Fan - Condenser, HVAC System",001-001-214,,"updated by JP"
1,1,215,"Circuit Breaker - Air Conditioning Wiring",001-001-215,,
1,1,216,"Seal Kit - Compressor, Air Conditioner",001-001-216,,
1,1,217,"Sight Glass - Receiver/Dehydrator Line ",001-001-217,,(001-001-138)
1,1,218,"Line - Expansion Valve To Evaporator, HVAC System",001-001-218,,"updated by JP"
1,1,219,"Filter - Air Conditioner",001-001-219,,
1,1,220,"Switch - Shutdown, Condenser Overheat",001-001-220,,
1,1,221,"Louver - Directional, Outlet Duct",001-001-221,,
1,1,222,"Retainer - Louver, Directional Duct Outlet",001-001-222,,
1,1,223,"Bearing - Clutch, A/C Compressor",001-001-223,,"updated by JP"
1,1,224,"Snap Ring - Bearing Retaining",001-001-224,,
1,1,225,"Mounting Bracket -  Air Conditioner Hoses, Cab",001-001-225,,
1,1,226,"Valve Cap - Suction / Discharge Gauge Valve",001-001-226,,"For 001-001-164 & 001-001-165"
1,1,227,"Connectors/Fittings - Air Conditioning",001-001-227,,
1,1,228,"Deck Plate",001-001-228,,
1,1,229,"Service Valve - Refrigerant",001-001-229,,
1,1,230,"Wiring Harness - Automatic Shutdown, Air Conditioner",001-001-230,,
1,1,231,"Switch - Trinary",001-001-231,,
1,1,232,"Replacement Kit - O-Ring, Air Conditioning Line",001-001-232,,
1,1,233,"Mounting Spacer - Air Conditioning Compressor",001-001-233,,
1,1,234,"Bracket - Dehydrator/Receiver, Air Conditioner",001-001-234,,
1,1,235,"Switch - A/C Thermostat",001-001-235,,
1,1,236,"Spring - Directional Duct Outlet",001-001-236,,
1,1,237,"Adapter - A/C Compressor Line",001-001-237,,
1,1,238,"Drain Pan - HVAC System",001-001-238,,"updated by JP"
1,1,239,"Thermostat - Air Conditioner Temperature Control",001-001-239,,
1,1,240,"Cap - Charging Valve, Air Conditioner",001-001-240,,
1,1,241,"Lamp Control - Heater/Air Conditioning",001-001-241,,
1,1,242,"Switch - High Pressure",001-001-242,,
1,1,243,"Switch - Low Pressure",001-001-243,,
1,1,244,"Adapter - Actuator - A/C Rotary Control",001-001-244,,"updated by JP"
1,1,245,"Mounting Bracket - Actuator",001-001-245,,
1,1,246,"Orifice Tube",001-001-246,,
1,1,247,"Bracket - Service Panel",001-001-247,,
1,1,248,"Mounting Bracket - Blower",001-001-248,,
1,1,249,"Latch - Air Filter",001-001-249,,
1,1,250,"Mounting Seal - Upper",001-001-250,,
1,1,251,"Seal - Evaporator Tab",001-001-251,,
1,1,252,"Seal - Evaporator Center",001-001-252,,
1,1,253,"Seal - Evaporator Plate",001-001-253,,
1,1,254,"Bracket - Hat",001-001-254,,
1,1,255,"Control - Electronic Cold",001-001-255,,
1,1,256,"Switch - Freeze Contact",001-001-256,,
1,1,257,"Line - Compressor/Accumulator",001-001-257,,
1,1,260,"Seal - Heater Plate, A/C System",001-001-260,,
1,1,261,"Control - Heater & Air Conditioning",001-001-261,,
1,1,262,"Base Plate Assembly",001-001-262,,
1,1,263,"Retainer - Lower",001-001-263,,
1,1,264,"Retainer - Upper",001-001-264,,
1,1,265,"Louver - Ball",001-001-265,,
1,1,267,"Gasket - Motor Mount",001-001-267,,
1,1,268,"A/C Rack Assembly",001-001-268,,
1,1,269,"Support - Rear A/C Rack",001-001-269,,
1,1,270,"Hardware, Mounting - A/C Rack Assembly",001-001-270,,
1,1,271,"Braided Hose - Bulk, Air Conditioning",001-001-271,,
1,1,272,"Bearing - Evaporator, Air Conditioning",001-001-272,,
1,1,273,"Control Module - Diagnostic, Air Conditioning",001-001-273,,
1,1,274,"Hardware, Mounting - A/C Diagnostic Control Module",001-001-274,,
1,1,276,"Hardware, Mounting - A/C Compressor Assembly",001-001-276,,
1,1,277,"Hardware, Mounting - A/C & Defroster Case",001-001-277,,
1,1,278,"Brace - Compressor, Refrigerant",001-001-278,,
1,1,279,"Bushing - Damper Door",001-001-279,,
1,1,280,"Cover - A/C",001-001-280,,
1,1,281,"Face - Duct, A/C",001-001-281,,
1,1,282,"Eccentric - Compressor",001-001-282,,
1,1,283,"End - Adjusting Link, Compressor",001-001-283,,
1,1,284,"Grille - Air Inlet",001-001-284,,
1,1,285,"Hose, Line Assembly - A/C",001-001-285,,
1,1,286,"Housing Assembly - Defroster",001-001-286,,
1,1,287,"Adjusting Link - Compressor, Air Conditioning",001-001-287,,
1,1,288,"O-Ring - A/C Compressor",001-001-288,,
1,1,289,"Protection Unit - A/C",001-001-289,,
1,1,290,"Switch - Micro, A/C Compressor",001-001-290,,"Requested by Freightliner JP"
1,1,291,"Tube - Evaporator, Liquid Line",001-001-291,,
1,1,292,"Hardware, Mounting - Compressor Bracket",001-001-292,,
1,1,293,"Idler Pulley - A/C",001-001-293,,
1,1,294,"Conversion Kit - R12 to R134",001-001-294,,
1,1,295,"Line - High Pressure, Bunk",001-001-295,,
1,1,296,"Line - Junction Block to Compressor",001-001-296,,
1,1,297,"Module - Bunk Control",001-001-297,,
1,1,298,"Cover - Blower Housing",001-001-298,,
1,1,299,"Insulator - Blower Motor",001-001-299,,
1,1,300,"Label - Air Conditioning System",001-001-300,,
1,1,301,"Line - Expansion Valve to Compressor",001-001-301,,
1,1,302,"Pulley - A/C Belt Tensioner",001-001-302,,
1,1,303,"Line, Air - Vacuum Control Valve",001-001-303,,
1,1,304,"Cover, Service - Evaporator",001-001-304,,
1,1,305,"Sensor - Temperature, Evaporator",001-001-305,,
1,1,306,"Valve - Thermal Expansion, Evaporator",001-001-306,,
1,1,307,"Bushing - Evaporator",001-001-307,,
1,1,308,"Pivot, Adjusting Link - Compressor",001-001-308,,
1,1,309,"Sensor - Condensate",001-001-309,,
1,1,310,"Line, Copper - Condenser, Inlet/Outlet",001-001-310,,
1,1,311,"Junction Block - A/C",001-001-311,,"Requested by Gordon Trucking. Assigned by RMB."
1,1,312,"Bracket - Adjustment Link, Compressor",001-001-312,,
1,1,313,"Bracket - Discharge Line",001-001-313,,
1,1,314,"Bushing - Compressor, Refrigerant",001-001-314,,
1,1,315,"Spacer - Condenser, Roof Mounted",001-001-315,,
1,1,316,"Duct - Air, Remote Mounted Condenser",001-001-316,,
1,1,317,"Wiring - Condenser, Roof Mounted",001-001-317,,
1,1,318,"Valve - Recirculation, Fresh Air",001-001-318,,
1,1,319,"Evacuator - Air Duct, Air Conditioner",001-001-319,,
1,1,320,"Mounting Bracket -  Air Conditioner Duct",001-001-320,,
1,1,321,"Insulation - Duct, Main",001-001-321,,
1,1,322,"Panel - Air Inlet",001-001-322,,
1,1,323,"Shim - Duct",001-001-323,,
1,1,324,"Cover - Air Conditioner Hose",001-001-324,,
1,1,325,"Bracket - Control, HVAC",001-001-325,,
1,1,326,"Clip - Condenser, Air Conditioner",001-001-326,,
1,1,327,"Screen - Bug, Condenser",001-001-327,,
1,1,328,"Rail - Side, Roof Mounted Condenser",001-001-328,,
1,1,329,"Core - Condenser, Air Conditioner",001-001-329,Yes,"Obsolete - Use 001-001-333"
1,1,330,"Mounting Bracket -  Fan, Condenser",001-001-330,,
1,1,331,"Valve - Condenser, Air Conditioner",001-001-331,,
1,1,332,"Guard - Edge, Condenser",001-001-332,,
1,1,333,"Coil  (Core) - Condenser, Air Conditioner",001-001-333,,
1,1,334,"Cover - Condenser, Air Conditioner",001-001-334,,
1,1,335,"Sight Glass - Moisture Indicator, Condenser",001-001-335,,
1,1,336,"Insulator - Motor, Condenser, Roof Mounted",001-001-336,,
1,1,337,"Plenum - Condenser, Air Conditioner",001-001-337,,
1,1,338,"Gasket - Mounting, Condenser",001-001-338,,
1,1,339,"Clip - Air Conditioner",001-001-339,,
1,1,340,"Probe - Evaporator",001-001-340,,
1,1,341,"Housing - Air, Fresh/Recirculated",001-001-341,,
1,1,342,"Lever - Door, Air, Fresh/Recirculated",001-001-342,,
1,1,343,"Actuator - Rotary",001-001-343,,
1,1,344,"Angle - Baffle, Evaporator",001-001-344,,
1,1,345,"Insert - Actuator",001-001-345,,
1,1,346,"Valve - Control, Temperature",001-001-346,,
1,1,347,"Bezel - Evaporator",001-001-347,,
1,1,348,"Register - Evaporator",001-001-348,,
1,1,349,"Motor - Gear, Evaporator",001-001-349,,
1,1,350,"Driver - Gear Motor, Evaporator",001-001-350,,
1,1,351,"Plate - Evaporator",001-001-351,,
1,1,352,"Valve - Core, Air Conditioner Hose",001-001-352,,
1,1,353,"Retainer - Junction Block, Air Conditioning",001-001-353,,
1,1,354,"Cap - Service, Air Conditioner Hose",001-001-354,,
1,1,355,"Hardline - Heater And A/C",001-001-355,,
1,1,356,"Easement - Hose, Rubber",001-001-356,,
1,1,357,"Valve - Mode, Heater And A/C",001-001-357,,
1,1,358,"Mounting Plate - Switch",001-001-358,,
1,1,359,"Bezel - Panel, Control",001-001-359,,
1,1,360,"Stop - Control Panel, Heater And A/C",001-001-360,,
1,1,361,"Thermostat - Evaporator",001-001-361,,
1,1,362,"Switch - Rotary, Mode Control",001-001-362,,
1,1,363,"Switch - Pressure, Oil Pump",001-001-363,,
1,1,364,"Guard - Air Switch",001-001-364,,
1,1,365,"Plate - Clutch, Compressor",001-001-365,,
1,1,366,"Mounting Kit - Compressor, Refrigerant",001-001-366,,
1,1,367,"Harness - Receiver/Dehydrator",001-001-367,,
1,1,368,"Door - Air, Recirculation",001-001-368,,
1,1,369,"Support - Filter, Air Conditioner",001-001-369,,
1,1,370,"Guard - Edge, Blower Housing",001-001-370,,
1,1,371,"Vent - Recirculation",001-001-371,,"Requested by Parts River JP"
1,1,372,"Door - Face, Blower Housing",001-001-372,,"Requested by Freightliner JP"
1,1,373,"Housing - Blower, Bottom",001-001-373,,"Requested by Freightliner JP"
1,1,374,"Housing - Blower, Middle ",001-001-374,,"Requested by Freightliner JP"
1,1,375,"Housing - Blower, Top",001-001-375,,"Requested by Freightliner JP"
1,1,376,"Accumulator - Air Conditioning",001-001-376,,"Requested by Freightliner JP"
1,1,377,"Wiring Harness - Blower Motor",001-001-377,,"Requested by Parts River JP"
1,1,378,"Cylinder - Door, Air Actuated",001-001-378,,"Requested by Freightliner JP"
1,1,379,"Clamp - Duct Hose",001-001-379,,"Requested by Parts River JP"
1,1,380,"Bracket - Accumulator, Air Conditioner",001-001-380,,"Requested by Freightliner JP"
1,1,381,"O-Ring - General, AC",001-001-381,,"Requested by Parts River JP"
1,1,382,"Duct - Face Vents, Dash",001-001-382,,"Requested by Freightliner JP "
1,1,383,"Clamp - Support, HVAC Line/Hose",001-001-383,,"Requested by Freightliner JP "
1,1,384,"Clamp - Mounting, Receiver/Drier, Air Conditioning",001-001-384,,"Requested by Freightliner JP "
1,1,385,"Hardware, Mounting - Tensioner",001-001-385,,"Requested by Parts River JP "
1,1,386,"Strut - Condenser, Frame Mounted",001-001-386,,"Requested by Freightliner JP "
1,1,387,"Motor - Fan, Condenser, HVAC System",001-001-387,,"Requested by Freighltiner JP "
1,1,388,"Bushing - Idler",001-001-388,,"Requested by Parts River JP "
1,1,389,"Manifold - Compressor",001-001-389,,"Requested by Parts River JP "
1,1,390,"Heat Shield - Receiver/Dehydrator",001-001-390,,"Requested by Freightliner JP "
1,1,391,"Fitting - A/C System, Air Line, Hose, Tube, Plumbing",001-001-391,,"Requested by Freightliner JP "
1,1,392,"Fitting - A/C System, Refrigerant Line, Hose, Tube, Plumbing",001-001-392,,"Requested by Freightliner JP "
1,1,393,"O-Ring - A/C System, Air Line, Hose, Tube, Plumbing",001-001-393,,"Requested by Freightliner JP "
1,1,394,"O-Ring - Refrigerant Line, Hose, Tube, Plumbing",001-001-394,,"Requested by Freightliner JP "
1,1,395,"Switch - Binary, Air Conditioning",001-001-395,,"Requested by Freightliner JP "
1,1,396,"Line - Manifold, Air Conditioning",001-001-396,,"Requested by Parts River JP "
1,1,397,"Repair Kit - Compressor, Air Conditioning",001-001-397,,"Requested by Parts River JP "
1,1,398,"Valve - Thermal Expansion (to Junction Block) , Air Conditioning",001-001-398,,"Requested by Freightliner JP "
1,1,399,"Isolator - Condenser, Air Conditioner",001-001-399,,"Requested by Freightliner JP "
1,1,400,"Belt Tensioner - Air Conditioning",001-001-400,,"Requested by Cetaris JP "
1,1,401,"Plate - Idler Pulley, Air Conditioner",001-001-401,,"Requested by Freightliner JP "
1,1,402,"Transducer - Pressure, Air Conditioner",001-001-402,,"Requested by Freightliner JP "
1,1,403,"Thermistor - Heater and A/C",001-001-403,,"Requested by SEFL JP "
1,1,404,"Gasket - Cores Barrier",001-001-404,,"Requested by Freigthliner JP "
1,1,405,"Module - Power Control (PCM), Air Conditioner",001-001-405,,"Requested by Penske JP "
1,1,406,"Module - Linear Power",001-001-406,,"Requested by SEFL JP "
1,1,407,"Line - High Side, Orifice Tube to Condenser w/Junction Block",001-001-407,,"Requested by TransAm JP "
1,1,408,"Condenser - Service Unit, Roof Mounted",001-001-408,,"Requested by Maverick JP "
1,1,409,"Switch - Wide Open Throttle Cutoff, Air Conditioning",001-001-409,,"Requested by Motor JP "
1,1,410,"Relay - Wide Open Throttle Cutoff, Air Conditioning",001-001-410,,"Requested by Motor JP "
1,1,411,"Clamp - Blower Case, HVAC",001-001-411,,"Requested by Motor JP "
1,1,412,"Gasket - Blower Case, HVAC",001-001-412,,"Requested by Motor JP "
1,1,413,"Gasket - Cover, Blower Motor, HVAC",001-001-413,,"Requested by Motor JP "
1,1,414,"Gasket - Blower Motor, HVAC",001-001-414,,"Requested by Motor JP "
1,1,415,"Plate - Mounting, Blower Motor, HVAC",001-001-415,,"Requested by Motor JP "
1,1,416,"Cap - Receiver Drier",001-001-416,,"Requested by Motor JP "
1,1,417,"Gasket - Receiver Drier",001-001-417,,"Requested by Motor JP "
1,1,418,"Gasket - Expansion Valve",001-001-418,,"Requested by Motor JP "
1,1,419,"Plate - Expansion Valve",001-001-419,,"Requested by Motor JP "
1,1,420,"Gasket - Mount Plate, Expansion Valve",001-001-420,,"Requested by Motor JP "
1,1,421,"Seal Kit - Expansion Valve",001-001-421,,"Requested by Motor JP "
1,1,422,"Clamp - Accumulator, Air Conditioning",001-001-422,,"Requested by Motor JP "
1,1,423,"Insulator - Accumulator, Air Conditioning",001-001-423,,"Requested by Motor JP "
1,1,424,"Sensor - Compressor RPM - Air Conditioning",001-001-424,,"Requested by Motor JP "
1,1,425,"Gasket - Evaporator Case",001-001-425,,"Requested by Motor JP "
1,1,426,"Gasket Set - Evaporator Case",001-001-426,,"Requested by Motor JP "
