VMRSCode,"Long Description","Short Description ",Obsolete,Comments
ACOSL,"Acoplados Salto","Acoplados Salto",,
ACORN,"Acorn Paper Products Company","Acorn Paper Products",,
ACOSO,"Acoustic Solutions","Acoustic Solutions",,
ACRFT,"Acrafit, a Division of Paccar, Inc.",Acrafit,,
ACRSI,"Acrison Inc","Acrison Inc",,
ACROX,"Acro Trailer Co","Acro Trailer",,"Requested by TMW  System"
ACRMG,Acromag,Acromag,,
ACROT,"Acrosser Technology Co. Ltd. ","Acrosser Technology ",,
ACTXX,ACT,ACT,,
ACTIA,"Actia Corp",Actia,,
ACTON,"Action Resources Inc","Action Resources",,
ACTSM,"Action Sales and Metal Co. Inc.","Action Sales and Metal",,
ACTTR,"Action Trailers","Action Trailers",,
ACTGR,"Active Gear Co. of Canada LTD","Active Gear Co. of Canada",,
ACHDC,"Active Heavy Duty Cooling Products","Active Heavy Duty Cooling",,"3675 Amber StPhiladelphia, Pa. "
ACRAD,"Active Radiator Supply","Active Radiator Supply",,
ACTRN,"Actron div of SPX",Actron,,
ACTNT,"Actuant Corp",Actuant,,"Requested by FedEx"
ACUSP,"Acuity Speciality Products","Acuity Speciality Products",,
ACUIN,"Acumen International ","Acumen International",,
ACURA,"Acura Division of Honda Motor America, Inc.",Acura,,
ACRTE,AcuRite,AcuRite,,
ACSTP,"Acustrip Co Inc",Acustrip,,
ADAMT,"ADA Metal Products Inc","ADA Metal",,"Requested by Parts River "
ADALT,Adalet,Adalet,,
ADAMS,Adams,Adams,,
ADPTA,"Adaptall Inc","Adaptall Inc",,
ADASL,"Adaseal Inc",Adaseal,,
ADATA,"ADATA Technology Co Ltd ","ADATA Technology Co Ltd ",,
ADCXX,ADC,ADC,,
ADCOP,"ADCO Products","ADCO Products",,
ADDAL,"Addalock Inc","Addalock Inc",,
ADDCO,"ADDCO, LLC.","ADDCO, LLC",,
ADDMF,"ADDCO Manufacturing, Inc.","ADDCO Manufacturing",,
ADKTR,"Adkins Truck Equipment Company",Adkins,,
ADMGR,"ADMARK GRAPHIC SYSTEM INC.",,,
ADRIA,"Adrian Steel","Adrian Steel",,
ADSCO,"Adsco Companies","Adsco Companies",,
ADSEN,"Adsens Technology Inc","Adsens Technology",,
ADVAP,"Advance Auto Parts","Advance Auto Parts",,
ADVBR,"ADVANCE BRUSHES INC.",,,"Replaces - ADVBX"
ADVBX,"Advance Brushes Inc.","Advance Brushes",YES,"Obsolete - use ADVBR"
AEPXX,"Advance Engineered Products Ltd","Advance Engineered",,
ADVMC,"Advance Machine, Inc.",Advance,,
ADVMX,"Advance Mixer","Advance Mixer",,
ADPLS,"Advance Plastics Inc","Advance Plastics",,
ADVRM,"ADVANCE-ROMER SANITARY PRODUCTS",,,
ADVSM,"Advanced Automotive Smog-Repair","Advanced Automotive Smog-Repair",,
ABCXX,"Advanced Bulk & Conveying Inc","Advanced Bulk & Conveying ",,
ADCTC,"Advanced Component Tech","Advanced Component",,"Requested by Parts River "
ADVHS,"Advanced Handling Systems, Inc","Advanced Handling Systems",,
AMTXX,"Advanced Maintenance Technologies, Inc.",AMT,,
ADVPR,"Advanced Petroleum Concepts","Advanced Petroleum Concepts",,
ADVPL,"Advanced Plastics","Advanced Plastics",,
ADVRE,"Advanced Recycling Systems Inc","Advanced Recycling Systems",,
ADVRD,"Advanced Rupture Disk Technology Inc","Advanced Rupture Disk Technology Inc",,
ATIIN,"Advanced Tech Inc","Advanced Tech",,"Requested by Parts River "
ADVTC,"Advanced Technology Corp","Advanced Technology",,"Requested by Parts River "
"ATDYN ","Advanced Transit Dynamics Inc","Advanced Transit Dynamics",,
AWSXX,"Advanced Wheel Sales - AWS LLC","Advanced Wheel Sales",,
ADVTR,"Advantage Truck Accessories","Advantage Truck Accessories",,
ADTRC,"Advantage Truck Center","Advantage Truck Center",,
ADVTE,"Advantech Corporation","Advantech Corporation",,
ADVMN,"Advantech Manufacturing","Advantech Manufacturing",,
ADVAR,"Advent Air","Advent Air",,
ADVPC,"ADVPC Trailer Parts","ADVPC Trailer",,
ADWXX,"ADW Block Heaters","ADW Block Heaters",,
AECXX,AEC,AEC,,
AEICP,"AEI Corp.",AEI,,"Requested by Parts River "
AEMXX,"AEM - Advanced Engine Management Inc",AEM,,
AERSP,"AER Supply Ltd","AER Supply Ltd",,
AEROI,"Aero Industries",Aero,,"Requested by Mike Kramer, Kirk NationaLease; 937-498-5814"
ARLFT,"Aero Lift","Aero Lift",,
AERLN,"AERO-LINER CO.",,,
AERCH,Aerocoach,Aerocoach,,
ARFSG,"AEROFLASH SIGNAL",,,
AEROL,"Aeroil Products Company, Inc.","Aeroil Products Company, Inc.",,
"AEROP ","Aeropro LLC",Aeropro,,
AERQP,"Aeroquip Corporation",Aeroquip,,
AEROR,AeroR,AeroR,,
ASLSY,"Aerosol Systems","Aerosol Systems",,"Requested by Parts River "
AERHN,"Aerotech Herman Nelson ","Aerotech Herman Nelson ",,
AERVO,"Aervoe Pacific Co. Inc",Aervoe,,"Requested by FedEx"
AERWA,"Aerway Parts","Aerway Parts",,
AESXX,"AES Auto Electric Service B.V.","AES Auto Electric Service",,
AESYS,"AESYS S.p.A,",AESYS,,
AETHE,"Aether Systems",,,"11460 Cronridge DriveOwings Mills, MD 21117www.aethersystems.comrequested by SEFLupdated by mrw"
AETNA,"Aetna Bearing Co","Aetna Bearing",,
AFCXX,AFC,AFC,,
AFEXF,"AFEX Fire Supression Systems ","AFEX Fire Supression Systems ",,
AFFIN,Affina,Affina,,"Requested by Parts River "
AFTNR,"Affton Radiator ","Affton Radiator ",,
AFLXX,"AFL Automotive div of Alcoa","AFL Automotive",,
AFTRM,"Aftermark LLC","Aftermark LLC",,
AGCHM,"AG Chemical Equipment","AG Chemical",,
AGNEO,"AG Neovo Technology Corporation","AG Neovo Technology Corporation",,
AGONE,"AG One","AG One",,
AGAFL,"AGA FLEET PRODUCTS",,,
AGCOX,"AGCO Corporation",AGCO,,"Duluth, Ga. "
AGCAL,Agco-Allis,Agco-Allis,,
AGGHY,"Aggressive Hydraulics","Aggressive Hydraulics",,
AGLTY,"Agility Fuel Systems","Agility Fuel Systems",,
AGMST,Agmaster,Agmaster,,
AGMAT,Agmate,Agmate,,
AGSPR,"Agra Sprayers Inc.","Agra Sprayers",,"Requested by Parts River "
AGRFL,Agriful,Agriful,,
AGMTL,Agrimetal,Agrimetal,,
AGROT,"Agrot Sprayers Co","Agrot Sprayers",,"Requested by Parts River "
AGRTK,Agrotekk,Agrotekk,,
AGSXX,"AGS Brake Lines","AGS ",,
AHLBG,Ahlberg,Ahlberg,,
AHLMN,"Ahlmann - Ahlmann Baumaschinen GMBH",Ahlmann,,
ALSTR,"Ahlstrom Corp",Ahlstrom,,
AHSXX,"AHS Roller Balls","AHS Roller Balls",,
AITEK,"AI-TEK Instruments LLC",AI-TEK,,
AICHI,"Aichi Tire","Aichi Tire",,
AIKEN,"Aiken Chemical Company Inc","Aiken Chemical",,
AIMXX,"AIM Alternators and Starters","AIM Alternators and Starters",,
AIMNL,"Aim NationaLease","Aim NationaLease",,
"AIMSP ","AIM Supply","AIM Supply",,
AIMCO,"Aimco Products, Inc.",Aimco,,"Requested by Wayne Baker, Canpar Transport, Ltd. No DUNS available"
AIRAS,"Air Assassin ","Air Assassin ",,
ABSQR,"Air Brake Specialties Inc","Air Brake Specialties",,
AIRBS,"Air Brake Systems Inc","Air Brake Systems",,
AIREN,"Air Energie","Air Energie",,
AIRHY,"Air & Hydraulic Components","Air & Hydraulic Components ",,
"AIRKG ","Air King Limited","Air King Limited",,
"ALIFT ","Air Lift Company","Air Lift Company",,
AILQC,"Air Liquide Canada Inc ","Air Liquide Canada Inc ",,
AIRMZ,"Air Maze","Air Maze",,
AIRPW,"Air Power Systems Co","Air Power Systems",,
AIRPO,"Air Pro","Air Pro",,
AIRPR,"Air Products and Chemicals, Inc.","Air Products",,
AIRPG,"Air Products Group","Air Products Group",,"Requested by NAMDX, Scott Murray"
AIRRF,"AIR REFINER (DIVISION OF DANA)",,,
AIRCH,"Air Research Co","Air Research",,
AIRSO,"Air Source of MEI Corporation","Air Source",,
AITSY,"Air Systems & Pump","Air Systems & Pump",,
ARTRQ,"Air Torque S. P. A. ","Air Torque S. P. A. ",,
AIRVI,"Air Vizion","Air Vizion",,"2625 Piedmont Road                                                 Suite 56-145                                                                 Atlanta, Ga. 30324"
AIRWG,"Air Weigh","Air Weigh",YES,"Obolete - use ARWGH"
AIRAP,"AIR-A-PLANE CORP.",,,
ARFLX,Air-Flexx,Air-Flexx,,
ARFLO,"Air-Flo Manufacturing Co","Air-Flo Manufacturing Co",,
ARLOK,Air-Lok,Air-Lok,,
AIRMT,"Air-Mate Compressor","Air-Mate Compressor",,
ARMPW,"AIR-O-MATIC POWER STEERING CO.",,,
AOPCO,"Air-Oil Products Corporation ","Air-Oil Products Corporation ",,
AIRWY,"Air-Way Manufacturing Co",Air-Way,,
ARWGH,Air-Weigh,Air-Weigh,,"1730 Willow Creek Circle, Eugene OR 97402"
AIRXX,AIR1,AIR1,,
ARARS,"AirArc Supply","AirArc Supply",,
AIRCA,"Airca Push Mowers","Airca Push Mowers",,"Requested by Parts River "
AIRDR,Airdraulics,Airdraulics,,
ARSRC,"AIRESEARCH MFG. DIV. GARRETT CORP.",,,
AIRFL,Airflow,Airflow,,
AIRGS,"Airgas Inc",Airgas,,
ARGDF,"Airglide, Inc.",Airglide,,
AIRGO,"Airgo Systems LLC","Airgo Systems",,
AIRHK,"AirHawk Truck Accessories Inc","AirHawk Truck Accessories Inc",,
AIRMN,"Airman Compressors","Airman Compressors",,"Requested by Parts River "
AIRMX,"Airmax Industries",Airmax,,
ARDYN,"Airodyne Industries, Inc.",Airodyne,,
AIRSL,"Airosol Company, Inc.",Airosol,,"Requested by FedEx"
AIRYL,"AiRoyal Mfg Co","AiRoyal Mfg",,
AIRPE,"Airpax Electronics",Airpax,,"Requested by Parts River "
AIRPX,"Airpax - Sensata Technologies Inc",Airpax,,
AIRPS,Airpush,Airpush,,
AIRSF,Airsafe,Airsafe,,
ARSHL,"AIRSHIELD CORPORATION",,,"Replaces - RDKWL"
AIRSC,"Airsource Products",Airsource,,"3976 Cherry Ave. Long Beach, Ca. 90807Requested by Parts River "
ARTAC,"Airtac International Group","Airtac International Group",,
AIRTH,"Airtech Airsprings","Airtech Airsprings",,
AIRTX,"AIRTEX INDUSTRIES",,,
AIRLB,"Airx Laboratories","Airx Laboratories",,
AIRXL,"Airxcel Inc","Airxcel Inc",,
AISIN,"AISIN Seiki Co., Ltd.",Aisin,,"requested by Lee Long 2/8/05no additional available over the internet"
AISNW,"Aisin World Corp of America","Aisin World Corp",,
AJUSA,"AJ-USA Inc",AJ-USA,,
AJAXT,"Ajax Tool Works Inc","Ajax Tool Works Inc",,
AJATR,"Ajax Trailers","Ajax Trailers",,
AJRXX,"AJR International ","AJR International",,
AKEBO,"Akebono Brake Corp",Akebono,,
AKRMN,Akerman,Akerman,,
AKGGX,"AKG Group","AKG Group",,
AKINS,"Akins Fuel","Akins Fuel",,
AKMCP,"AKMI CORP.",,,
AKROM,Akro-Mils,Akro-Mils,,
AKRNF,"Akron Foundry Co","Akron Foundry",,
AKTAN,"Aktas North America Corp","Aktas North America Corp",,
AKZEL,"Akzo Nobel Car Refinishes","Akzo Nobel",,"5555 Spalding DrNorcross, Ga. 30092requested by Kirk NationaLease"
ALSAP,"Al's Automotive Supply","Al's Automotive Supply",,
ALKOB,"Al-Ko Kober Corp div of Hayes Axle","Al-Ko Kober Corp",,
AIROI,"Al-Oil Products","Al-Oil Products",,
ALBTL,"Alabama Trailer Company, Inc.","Alabama Trailer",,
ALAMO,"Alamo Articulated Boom Mower Mfg","Alamo Articulated",,"Requested by Parts River "
ALNWD,"ALAN WOOD STEEL CO.",,,
ALSKA,"Alaska Diesel","Alaska Diesel",,
AIHIN,"Alaska Industrial Hardware Inc","Alaska Industrial Hardware",,
ALATO,"Alato ",Alato,,
ALCHC,"Albany Chicago Co LLC","Albany Chicago",,"Requested by Parts River "
ALPMP,"Albany Pump","Albany Pump",,
ALBAR,Albaret,Albaret,,
ABRTA,"Alberta Oilfield & Industrial Supply","Alberta Oilfield & Industrial Supply",,
ALBTA,"Alberta Tank Ltd","Alberta Tank Ltd",,
ALBIN,Albin,Albin,,
ALBON,Albion,Albion,,
ALBRT,"Albright International Ltd","Albright International",,
ALCXX,"ALC Brand - S & H Industries","S & H Industries",,
ALCOX,"Alco Filters - Cyprus Ltd","Alco Filters",,
ALFSY,"Alcoa Fastening Systems","Alcoa Fastening",,"Requested by Parts River "
ALFJK,"Alcoa Fujikura Ltd.","Alcoa Fujikura",,"Requested by Parts River "
ALCOW,"Alcoa, Inc. (Wheel Products)",Alcoa,YES,"Obsolete - use ALCOA"
ALCON,Alcon,Alcon,,
ALCOT,"AlcoTec Wire Corporation","AlcoTec Wire Corporation",,
ALRTE,"Aldura Trailer & Equipment",Aldura,,"Requested by TMW Systems"
ALEMT,"ALEMITE & INST DIV., STEWART WARNER",,,
ALERT,"Alert Stamping","Alert Stamping",,
DENNS,"Alexander Dennis Limited - ADL","Alexander Dennis",,
ALXBS,"Alexander-Dennis Bus",Alexander-Dennis,YES,"Obsolete - use DENNS "
ALFAL,"Alfa Laval Corporation","Alfa Laval Corporation",,
ALFRO,"Alfa Romeo","Alfa Romeo",,
ALFAT,"Alfa Tools","Alfa Tools",,
ALLGD,ALGOOD,,,
AAIND,"Ali Arc Industries","Ali Arc",,
ALIEX,AliExpress.com,AliExpress.com,,
ALNBL,Alinabal,Alinabal,,"Requested by Parts River "
ALNCO,Alinco,Alinco,,
ALION,"Alion Corp",Alion,,"Requested by Parts River "
ALTIC,"Alitec Cold Planer","Alitec Cold Planer",,
ALKON,"Alkon Corporation",Alkon,,"728 Graham DrFremont, Ohio 43420Requested by Gordon Trk"
ALKOT,"Alkota Cleaning Systems",Alkota,,"Requested by FedEx"
ALACL,"All American Cleaning Systems","All American",,"Requested by FedEx"
ALAME,"All American Small Equipment","All American ",,"Requested by Parts River "
ALLAM,"ALL AMERICAN TRUCK SLEEPER",,,
ALLMH,"All Material Handling Inc","All Material Handling",,
ALPNT,"All Point Systems","All Point Systems",,
APBPX,"All Points Bus Parts","All Points Bus Parts",,
ALLST,"All Star Glass","All Star Glass",,
ALSTF,"All State Fastener Corp ","All State Fastener Corp ",,
AVHIS,"All Valley Hose & Industrial Supply LLC","All Valley Hose & Industrial Supply",,
ALFPC,"All-Flo Pump Company LLC","All-Flo Pump",,
ALPHE,"All-Phase Electric Supply Co","All-Phase Electric Supply Co",,
ALPWR,"All-Power America","All-Power America",,
ASIND,"All-State Industries Inc","All-State Industries",,"Requested by Parts River "
ALTRC,"All-Trailer Canada Inc ","All-Trailer Canada Inc ",,
ALNSN,"Allanson Inc","Allanson Inc",,
ALLTT,"Allatt Paving",Allatt,,
ALLCN,"Allcan Distributors ","Allcan Distributors ",,
ALLCR,Allcar,Allcar,,
ALTRA,"Allco Trailer",Alco,,
ALLTC,"Allegany Technology Inc.",Allegany,,"Requested by FedEx"
ALLEG,"Allegheny Power Products","Allegheny Power Products",,
ALLVL,"ALLEGHENY VALVE CO.",,,
AGSCP,"Allegis Corp",Allegis,,"Requested by Parts River "
ALEGO,"Allegro Industries","Allegro Industries",,
ALLNB,"ALLEN BRADLEY CO.",,,
ALLTL,"Allen Tools","Allen Tools",,"Requested by Parts River "
ALLEN,"Allenair Corporation","Allenair Corp",,
ALENS,Allenson,Allenson,,"Requested by Parts River "
ALLBG,"Alliance Bus Group","Alliance Bus Group",,
ALCLR,"Alliance Color Supply LP","Alliance Color Supply",,
AELTC,"Alliance Electronics Ltd","Alliance Electronics Ltd",,
ALLIA,"Alliance Industries",Alliance,,"requested by Parts Riverupdated by mrw"
ABPXX,"Alliance Truck Parts","Alliance Truck Parts",,
AWTXX,"Alliance Wireless Technologies Inc","Alliance Wireless",,
ALIPW,"Alliant Power, Inc","Alliant Power",,"Requested by SEFL "
ALLDB,"ALLIED BOLT & SCREW",,,
ALLBS,"Allied Bus Sales","Allied Bus",,"Requested by Parts River "
ALECP,"Allied Electronics Corp","Allied Electronics",,"Requested by Parts River "
AHAFL,"Allied Hose & Fittings Ltd","Allied Hose & Fittings Ltd",,
ALINT,"Allied International","Allied International",,
ALLRS,"Allied Rubber and Supply Co ","Allied Rubber and Supply Co ",,
ASYXX,"Allied Systems Company","Allied Systems Company",,
ALLDT,"Allied Tank","Allied Tank",,"Requested by Rich Viehdorfer, National Grid"
ALTHP,"Allied Threaded Products","Allied Threaded Products",,
ALLID,"Allied Waste Industries Inc","Allied Waste",,
ALLDW,"Allied Witan Company","Allied Witan",,
ALLED,"ALLIEDSIGNAL TRUCK BRAKE SYSTEMS CO.",,,
ALVEN,"Alligator Ventilfabrik GmbH","Alligator Ventilfabrik",,
ALLCH,"Allis-Chalmers Corporation",Allis-Chalmers,,
ALLSN,"Allison Transmission, Inc.",Allison,,
ALLMD,"Allmand Brothers Inc","Allmand Brothers",,
ALLMA,"Allomatic Products Co","Allomatic Products",YES,"Obsolete - use ALPCP"
ALPCP,"Allomatic Products Co","Allomatic Products",,"Replaces - ALLMA"
ALOCP,"Alloy Custom Products","Alloy Custom Products",,
ALYRC,"ALLOY RODS CORP.",,,
ALYTR,"ALLOY TRAILERS, INC.",,,
ALLPT,"Allparts Easyway","Allparts Easyway",,
ALLTD,"Alltech Distributions Inc","Alltech Distributions",,
ALTEH,"Alltech Inc",Alltech,,"Requested by Parts River "
ALTMP,"Alltemp Products Co LTD","Alltemp Products Co LTD",,
ALLTR,"ALLTRUCK,DUROBILT MFG.",,,
ALLVN,"ALLVAN CORPORATION",,,
ALMAX,Alma,Alma,,"Requested by NAMDX, Scott Murray"
ALMAP,"Alma Products","Alma Products",,
ALMAC,"ALMAC INDUSTRIES LTD.",,,
ALMAI,"Almani Audio USA","Almani Audio USA",,
ASPCO,"Almco Steel Products Corp","Almco Steel Products",,"Requested by Parts River "
ALLMT,"Almighty Auto Ancillary Pvt. LTD","Almighty Auto",,
ALOMA,"Aloma Shim & Manufacturing","Aloma Shim",,
"ALPAR ","Alpar Truck Parts","Alpar Truck Parts",,
ALPEX,"ALPEX MACHINE & TOOL CO.",,,
ALPHD,"Alpha 3D LLC","Alpha 3D LLC",,
ALPHM,"Alpha Metals","Alpha Metals",,
ALPHA,"Alpha Romero","Alpha Romero",YES,"Obsolete - use ALFRO "
ALDSL,Alpha-Diesel,Alpha-Diesel,,
ALPNE,ALPINE,,,
ALROS,"Alro Steel Corp","Alro Steel",,
ALSGL,"ALS Global","ALS Global",,
ALSTM,Alsthom,Alsthom,,
ALTNK,"Altank Industries ","Altank Industries ",,
ALTAW,"Altawood Inc",Altawood,,
ALTEC,"Altec, Inc ",Altec,,
ALTCH,"Altech Corporation","Altech Corp",,
ALTCB,"Altek Calibrators ","Altek Calibrators",,
ALTFS,"Alternative Fuel Systems","Alernative Fuel",,"Requested by FedEx"
ALTSV,"Alternator Service Inc","Alternator Service Inc",,
ALTMN,"Altman Distributing","Altman Distributing",,
ALTRM,Altrom,Altrom,,"Requested by Parts River "
